03/16 09:59:11.097   INFO [$_NIOREACTOR-2-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=6, lastTime=1552744751097, user=root, schema=db02, old shema=db02, borrowed=true, fromSlaveDB=false, threadId=726, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.098   INFO [$_NIOREACTOR-2-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=10, lastTime=1552744751098, user=root, schema=db02, old shema=db02, borrowed=true, fromSlaveDB=false, threadId=728, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.099   INFO [$_NIOREACTOR-3-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=3, lastTime=1552744751098, user=root, schema=db01, old shema=db01, borrowed=true, fromSlaveDB=false, threadId=730, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.099   INFO [$_NIOREACTOR-3-RW] (GetConnectionHandler.java:66) -connected successfuly MySQLConnection [id=7, lastTime=1552744751099, user=root, schema=db01, old shema=db01, borrowed=true, fromSlaveDB=false, threadId=731, charset=latin1, txIsolation=0, autocommit=true, attachment=null, respHandler=null, host=localhost, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]
03/16 09:59:11.178   INFO [WrapperSimpleAppMain] (PhysicalDBPool.java:319) -init result :finished 10 success 10 target count:10
03/16 09:59:11.178   INFO [WrapperSimpleAppMain] (PhysicalDBPool.java:265) -localhost1 index:0 init success
03/16 09:59:30.251   INFO [$_NIOREACTOR-3-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=1, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.251   INFO [$_NIOREACTOR-0-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=2, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.251   INFO [$_NIOREACTOR-1-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=3, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.323   INFO [$_NIOREACTOR-2-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=4, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.323   INFO [$_NIOREACTOR-0-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=6, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.327   INFO [$_NIOREACTOR-3-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=5, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.331   INFO [$_NIOREACTOR-1-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=7, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.332   INFO [$_NIOREACTOR-2-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=8, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.347   INFO [$_NIOREACTOR-3-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=9, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.352   INFO [$_NIOREACTOR-0-RW] (FrontendAuthenticator.java:193) -ServerConnection [id=10, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]'root' login success
03/16 09:59:30.798   INFO [$_NIOREACTOR-3-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=1, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.798   INFO [$_NIOREACTOR-1-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=3, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.799   INFO [$_NIOREACTOR-3-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=5, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.800   INFO [$_NIOREACTOR-2-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=4, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.802   INFO [$_NIOREACTOR-2-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=8, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.798   INFO [$_NIOREACTOR-0-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=2, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.800   INFO [$_NIOREACTOR-3-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=9, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.799   INFO [$_NIOREACTOR-1-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=7, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.803   INFO [$_NIOREACTOR-0-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=6, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
03/16 09:59:30.804   INFO [$_NIOREACTOR-0-RW] (AbstractConnection.java:458) -close connection,reason:program err:java.io.IOException: 远程主机强迫关闭了一个现有的连接。 ,ServerConnection [id=10, schema=chatrobot, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=chatrobot]
